,d,τ,µ
0,20,38,3.454150217007088e-16
1,20,38,-0.9974039618066862
2,20,38,-1.9643626808502714
3,20,38,-2.944245204565825
4,20,38,-3.9201461132964206
5,20,38,-4.940183270620906
6,20,38,-5.942056533311116
7,20,38,-6.9252989182690134
8,20,38,-7.923724351610081
9,20,38,-8.89779339419426
10,20,38,-9.962673465036445
11,20,38,-10.509612337363686
12,20,38,-11.948509646259037
13,20,38,-6.625652531167849
14,20,38,-13.910672098610975
15,20,38,-9.326161521999996
16,20,38,-4.269166006987491
17,20,38,-4.431883380255784
18,20,38,1.0912769673427738
19,20,38,0.5097953337737762
