,d,τ,µ
0,0,20,-0.4999999999999999
1,2,20,-2.499999999999999
2,4,20,-4.500000000000001
3,6,20,-6.5
4,8,20,-8.49999999995255
5,10,20,-9.999757103846356
6,12,20,-9.868067036592572
7,14,20,-6.948010811959401
8,16,20,-9.937812289835492
9,18,20,-9.879206516231104
10,20,20,-9.437337924656545
11,22,20,-9.94251760741678
12,24,20,-7.985501881888495
13,26,20,-9.926978562304557
14,28,20,-9.934845505270934
15,30,20,-9.876352084153808
16,32,20,-9.893346999841482
17,34,20,-9.799010268824064
18,36,20,-9.932962100306133
19,38,20,-9.3930309063675
20,40,20,-9.703597144194728
21,42,20,-9.724200392203352
22,44,20,-9.501213708503553
23,46,20,-7.820109750007145
24,48,20,-3.4307013960790704
25,50,20,-4.440892098500626e-16
26,52,20,-4.440892098500626e-16
27,54,20,-4.440892098500626e-16
28,56,20,-4.440892098500626e-16
29,58,20,-4.440892098500626e-16
30,60,20,-4.440892098500626e-16
31,62,20,-4.440892098500626e-16
32,64,20,-4.440892098500626e-16
33,66,20,-4.440892098500626e-16
34,68,20,-4.440892098500626e-16
