x,values
-50,
-49,
-48,
-47,
-46,
-45,
-44,
-43,
-42,
-41,
-40,
-39,
-38,
-37,
-36,
-35,
-34,
-33,
-32,
-31,
-30,
-29,
-28,
-27,
-26,
-25,
-24,
-23,1.0
-22,0.993006993006993
-21,0.9951424925854596
-20,0.5010659188941199
-19,0.5004795945758794
-18,0.49905875104820907
-17,0.5004008922422212
-16,0.49959053466920683
-15,0.4997666990314579
-14,0.49960752925495827
-13,0.4995561183409149
-12,0.49921439917490357
-11,0.4992959549411162
-10,0.49901673716421097
-9,0.5000730312852115
-8,0.5010141389535196
-7,0.5008332094467282
-6,0.4993372905812316
-5,0.5004883445551743
-4,0.5003313566985828
-3,0.49934808925392055
-2,0.49943132343241753
-1,0.5004744177993248
0,0.5004735159422794
1,0.4935602278271605
2,0.4947150570745191
3,0.49197139337782436
4,0.4919240766372565
5,0.4897834999980307
6,0.49025768410179477
7,0.48534176724972566
8,0.48727052047558544
9,0.48403967277899584
10,0.48513923804355064
11,0.47863454787555987
12,0.4824822859590569
13,0.4722539459427802
14,0.47663399753358865
15,0.46431480618427184
16,0.47211330682504066
17,0.4532060449529339
18,0.4654687352487648
19,0.4382292173067574
20,0.45300603957485946
21,0.42328629884003044
22,0.44286985256736144
23,0.40295566502463054
24,0.4358282355763464
25,0.37747890521266114
26,0.42601276540315225
27,0.3428772352822986
28,0.41053540587219345
29,0.3151829443964275
30,0.4067245119305857
31,0.2829827915869981
32,0.3884297520661157
33,0.23577235772357724
34,0.4020618556701031
35,0.22
36,0.42105263157894735
37,0.1111111111111111
38,0.0
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
