d,τ,µ
20,100,-2.96679
20,102,-3.04205
20,104,-3.07788
20,106,-3.1358
20,108,-3.18857
20,110,-3.22305
20,112,-3.26228
20,114,-3.31057
20,116,-3.36008
20,118,-3.39805
20,120,-3.45162
20,122,-3.46558
20,124,-3.50925
20,126,-3.56513
20,128,-3.59723
20,130,-3.61287
20,132,-3.6621
20,134,-3.68207
20,136,-3.71207
20,138,-3.75244
20,140,-3.76254
20,142,-3.79559
20,144,-3.83563
20,146,-3.84194
20,148,-3.86845
20,150,-3.90821
20,152,-3.91583
20,154,-3.93586
20,156,-3.96737
20,158,-3.99019
20,160,-3.99707
20,162,-4.01511
20,164,-4.03989
20,166,-4.04678
20,168,-4.06429
20,170,-4.0893
20,172,-4.10559
20,174,-4.1165
20,176,-4.13303
20,178,-4.13986
20,180,-4.15881
20,182,-4.16757
20,184,-4.18647
20,186,-4.19261
20,188,-4.20215
20,190,-4.20148
20,192,-4.22339
20,194,-4.22823
20,196,-4.2357
20,198,-4.24796
20,200,-4.25073
