d,τ,µ
20,0,-0.00870904
20,2,-0.0433732
20,4,-0.0912927
20,6,-0.152515
20,8,-0.198907
20,10,-0.236706
20,12,-0.28593
20,14,-0.342296
20,16,-0.394338
20,18,-0.444884
20,20,-0.500143
20,22,-0.563153
20,24,-0.6246
20,26,-0.667139
20,28,-0.724026
20,30,-0.784164
20,32,-0.832478
20,34,-0.896729
20,36,-0.968394
20,38,-1.02007
20,40,-1.08613
20,42,-1.12606
20,44,-1.19932
20,46,-1.26285
20,48,-1.33884
20,50,-1.39628
20,52,-1.46885
20,54,-1.52229
20,56,-1.60914
20,58,-1.65675
20,60,-1.7286
20,62,-1.79333
20,64,-1.85699
20,66,-1.93197
20,68,-1.98989
