d,τ,µ
0,50,-0.0009726
2,50,-0.220611
4,50,-0.487524
6,50,-0.762277
8,50,-0.995721
10,50,-1.21287
12,50,-1.40795
14,50,-1.59533
16,50,-1.78031
18,50,-1.96128
20,50,-2.14091
22,50,-2.33381
24,50,-2.55048
26,50,-2.78908
28,50,-3.05306
30,50,-3.34348
32,50,-3.67098
34,50,-4.04141
36,50,-4.44105
38,50,-4.83145
40,50,-5.2236
42,50,-5.48835
44,50,-5.55381
46,50,-5.28409
47,50,-4.86255
48,50,-4.31221
49,50,-3.35888
50,50,-0.0733366
52,50,-0.0340114
54,50,0.0648009
56,50,-0.0575614
58,50,0.048981
60,50,0.0497035
62,50,0.00646523
64,50,-0.0581279
66,50,-0.0589868
68,50,0.0586816
70,50,-0.0634723
