d,τ,µ
20,0,-0.00133653
20,2,-0.0584691
20,4,-0.124757
20,6,-0.206327
20,8,-0.265012
20,10,-0.336424
20,12,-0.416081
20,14,-0.479275
20,16,-0.567687
20,18,-0.648921
20,20,-0.728199
20,22,-0.799031
20,24,-0.889814
20,26,-0.9764
20,28,-1.06445
20,30,-1.1537
20,32,-1.24897
20,34,-1.35425
20,36,-1.45272
20,38,-1.54015
20,40,-1.6425
20,42,-1.7349
20,44,-1.83554
20,46,-1.94254
20,48,-2.03327
20,50,-2.14817
20,52,-2.24609
20,54,-2.33747
20,56,-2.44125
20,58,-2.52646
20,60,-2.62843
20,62,-2.72211
20,64,-2.79985
20,66,-2.88657
20,68,-2.97231
20,70,-3.06739
20,72,-3.13522
20,74,-3.20671
20,76,-3.27874
20,78,-3.35208
20,80,-3.41645
20,82,-3.48552
20,84,-3.53905
20,86,-3.60236
20,88,-3.66953
20,90,-3.71327
20,92,-3.77006
20,94,-3.82323
20,96,-3.85409
20,98,-3.91048
20,100,-3.9328
