d,τ,µ
20,100,-3.9336
20,102,-3.97606
20,104,-4.01053
20,106,-4.04298
20,108,-4.08884
20,110,-4.12181
20,112,-4.14949
20,114,-4.17161
20,116,-4.18505
20,118,-4.21093
20,120,-4.24375
20,122,-4.25692
20,124,-4.29461
20,126,-4.29389
20,128,-4.31221
20,130,-4.35082
20,132,-4.35793
20,134,-4.37194
20,136,-4.38624
20,138,-4.39942
20,140,-4.40499
20,142,-4.42202
20,144,-4.42447
20,146,-4.43805
20,148,-4.4587
20,150,-4.46973
20,152,-4.46858
20,154,-4.4815
20,156,-4.49221
20,158,-4.4839
20,160,-4.50538
20,162,-4.51236
20,164,-4.5066
20,166,-4.5094
20,168,-4.51531
20,170,-4.52229
20,172,-4.52405
20,174,-4.52362
20,176,-4.52669
20,178,-4.54446
20,180,-4.55029
20,182,-4.53453
20,184,-4.53423
20,186,-4.53997
20,188,-4.55459
20,190,-4.55738
20,192,-4.55513
20,194,-4.55628
20,196,-4.56586
20,198,-4.55221
20,200,-4.5496
