d,τ,µ
0,50,-0.000142649
2,50,0.232593
4,50,-0.0448132
6,50,-0.522041
8,50,-1.09309
10,50,-1.69366
12,50,-2.29128
14,50,-2.87816
16,50,-3.43914
18,50,-3.97193
20,50,-4.4895
22,50,-4.97621
24,50,-5.45569
26,50,-5.84368
28,50,-6.17275
30,50,-6.45276
32,50,-6.68951
34,50,-6.86329
36,50,-7.03628
38,50,-7.18036
40,50,-7.3027
42,50,-7.35771
44,50,-7.31416
46,50,-6.88245
47,50,-6.32754
48,50,-5.46241
49,50,-3.94719
50,50,-2.01348
52,50,-0.11075
54,50,-0.0187919
56,50,0.0411002
58,50,0.0492441
60,50,0.0416983
62,50,-0.0495662
64,50,-0.0598032
66,50,-0.0589728
68,50,-0.0222759
70,50,0.0545133
