d,τ,µ
0,10,0.173294
1,10,0.0880178
2,10,-0.133567
3,10,-0.402432
4,10,-0.674647
5,10,-0.918145
6,10,-1.08087
7,10,-1.19141
8,10,-1.27157
9,10,-1.33173
10,10,-1.37809
11,10,-1.42088
12,10,-1.45275
13,10,-1.47155
14,10,-1.49446
15,10,-1.51335
16,10,-1.52812
17,10,-1.55101
18,10,-1.56597
19,10,-1.57588
20,10,-1.5858
21,10,-1.59764
22,10,-1.59856
23,10,-1.61018
24,10,-1.61045
25,10,-1.61454
26,10,-1.63035
27,10,-1.63399
28,10,-1.63161
29,10,-1.63807
30,10,-1.63876
31,10,-1.66198
32,10,-1.65831
33,10,-1.64784
34,10,-1.6569
35,10,-1.67265
36,10,-1.66882
37,10,-1.66209
38,10,-1.69303
39,10,-1.70506
40,10,-1.65629
41,10,-1.66571
42,10,-1.70749
43,10,-1.66285
44,10,-1.65827
45,10,-1.73609
46,10,-1.67876
47,10,-1.66879
48,10,-1.60121
49,10,-1.26244
50,10,0.0495473
