d,τ,µ
0,20,0.21914
1,20,0.174881
2,20,-0.010655
3,20,-0.259961
4,20,-0.542804
5,20,-0.837585
6,20,-1.13095
7,20,-1.41711
8,20,-1.69042
9,20,-1.94722
10,20,-2.17754
11,20,-2.361
12,20,-2.50116
13,20,-2.61849
14,20,-2.7135
15,20,-2.79208
16,20,-2.86218
17,20,-2.91764
18,20,-2.96732
19,20,-3.01217
20,20,-3.05213
21,20,-3.08844
22,20,-3.11765
23,20,-3.15235
24,20,-3.17106
25,20,-3.19897
26,20,-3.21279
27,20,-3.23683
28,20,-3.26258
29,20,-3.28078
30,20,-3.28267
31,20,-3.30596
32,20,-3.32327
33,20,-3.32338
34,20,-3.34833
35,20,-3.3535
36,20,-3.35401
37,20,-3.37042
38,20,-3.36611
39,20,-3.38108
40,20,-3.41984
41,20,-3.38829
42,20,-3.4056
43,20,-3.46707
44,20,-3.40106
45,20,-3.37745
46,20,-3.41015
47,20,-3.25689
48,20,-2.81856
49,20,-1.94842
50,20,-0.065177
