d,τ,µ
20,0,0.00619409
20,1,-0.113135
20,2,-0.269382
20,3,-0.440458
20,4,-0.596075
20,5,-0.769178
20,6,-0.935884
20,7,-1.11187
20,8,-1.26378
20,9,-1.43126
20,10,-1.57829
20,11,-1.75365
20,12,-1.89769
20,13,-2.0586
20,14,-2.20802
20,15,-2.35712
20,16,-2.4957
20,17,-2.64444
20,18,-2.78387
20,19,-2.92727
20,20,-3.05078
20,21,-3.19339
20,22,-3.31189
20,23,-3.44072
20,24,-3.55331
20,25,-3.67416
20,26,-3.78535
20,27,-3.89748
20,28,-3.98344
20,29,-4.08944
20,30,-4.18818
20,31,-4.26666
20,32,-4.34665
20,33,-4.42801
20,34,-4.50537
20,35,-4.56824
20,36,-4.62784
20,37,-4.68136
20,38,-4.73198
20,39,-4.77327
20,40,-4.80131
20,41,-4.82561
20,42,-4.84335
20,43,-4.86126
20,44,-4.88265
20,45,-4.8952
20,46,-4.9065
20,47,-4.91017
20,48,-4.92906
20,49,-4.93145
20,50,-4.94155
