d,τ,µ
50,0,-0.0867399
50,2,0.064969
50,4,-0.182001
50,6,0.00883811
50,8,-0.042107
50,10,-0.0488165
50,12,-0.21516
50,14,-0.163142
50,16,-0.331675
50,18,-0.369567
50,20,-0.352305
50,22,-0.411619
50,24,-0.291506
50,26,-0.455527
50,28,-0.546422
50,30,-0.513172
50,32,-0.565153
50,34,-0.458125
50,36,-0.499138
50,38,-0.651025
50,40,-0.505229
50,42,-0.554072
50,44,-0.583031
50,46,-0.766221
50,48,-0.668024
50,50,-0.86881
50,52,-0.795588
50,54,-0.953845
50,56,-0.972855
50,58,-0.837935
50,60,-1.05306
50,62,-1.06089
50,64,-0.98424
50,66,-1.14612
50,68,-0.989859
50,70,-1.04664
50,72,-1.09969
50,74,-1.29792
50,76,-1.16353
50,78,-1.19119
50,80,-1.38909
50,82,-1.36884
50,84,-1.46912
50,86,-1.50125
50,88,-1.39045
50,90,-1.55606
50,92,-1.40013
50,94,-1.60616
50,96,-1.47574
50,98,-1.54567
50,100,-1.64221
50,102,-1.80406
50,104,-1.82896
50,106,-1.86144
50,108,-1.7733
50,110,-1.9524
50,112,-1.8076
50,114,-1.86293
50,116,-1.90569
50,118,-2.15032
50,120,-1.97149
50,122,-2.02032
50,124,-2.2129
50,126,-2.23821
50,128,-2.32633
50,130,-2.36641
50,132,-2.37206
50,134,-2.43659
50,136,-2.47262
50,138,-2.36069
50,140,-2.40936
50,142,-2.46143
50,144,-2.5293
50,146,-2.63824
50,148,-2.74989
50,150,-2.5962
50,152,-2.62685
50,154,-2.82706
50,156,-2.7451
50,158,-2.77612
50,160,-2.84227
50,162,-2.86642
50,164,-3.07913
50,166,-2.93687
50,168,-3.10832
50,170,-3.22457
50,172,-3.1971
50,174,-3.17075
50,176,-3.19858
50,178,-3.34125
50,180,-3.29016
50,182,-3.47508
50,184,-3.50424
50,186,-3.58465
50,188,-3.55008
50,190,-3.53131
50,192,-3.55532
50,194,-3.61336
50,196,-3.64655
50,198,-3.691
50,200,-3.88452
50,202,-3.92534
50,204,-3.84308
50,206,-3.91879
50,208,-3.92121
50,210,-4.12395
50,212,-4.05796
50,214,-4.07873
50,216,-4.26864
50,218,-4.16231
50,240,-4.7018
50,242,-4.85363
50,244,-4.92923
50,246,-4.96472
50,248,-4.86803
50,250,-5.025
50,252,-5.08712
50,254,-5.1474
50,256,-5.07833
50,258,-5.10831
50,260,-5.13841
50,262,-5.32856
50,264,-5.27408
50,266,-5.27977
50,268,-5.33873
50,270,-5.53728
50,272,-5.4589
50,274,-5.48618
50,276,-5.52674
50,278,-5.719
50,280,-5.61568
50,282,-5.81086
50,284,-5.69711
50,286,-5.76339
50,288,-5.92812
50,290,-5.97601
50,292,-6.00135
50,294,-6.08599
50,296,-5.99935
50,298,-6.12264
50,300,-6.21297
50,302,-6.25603
50,304,-6.28304
50,306,-6.20003
50,308,-6.29748
50,310,-6.4152
50,312,-6.37216
50,314,-6.39883
50,316,-6.57026
50,318,-6.52989
50,320,-6.64591
50,322,-6.72893
50,324,-6.74808
50,326,-6.78158
50,328,-6.68423
50,330,-6.73226
50,332,-6.83082
50,334,-6.81007
50,336,-6.86481
50,338,-6.95387
50,340,-6.93544
50,342,-6.98067
50,344,-7.1717
50,346,-7.19684
50,348,-7.11093
50,350,-7.19356
50,352,-7.3315
50,354,-7.37533
50,356,-7.26667
50,358,-7.31757
50,360,-7.34705
50,362,-7.42757
50,364,-7.42616
50,366,-7.48593
50,368,-7.61167
50,370,-7.60424
50,372,-7.73521
50,374,-7.76786
50,376,-7.70919
50,378,-7.69952
50,380,-7.85456
50,382,-7.84823
50,384,-7.94604
50,386,-7.83739
50,388,-8.0198
50,390,-8.0501
50,392,-7.95637
50,394,-8.0438
50,396,-8.11073
50,398,-8.16791
50,220,-4.23435
50,222,-4.24913
50,224,-4.29779
50,226,-4.48841
50,228,-4.44017
50,230,-4.59097
50,232,-4.49187
50,234,-4.54823
50,236,-4.59975
50,238,-4.7831
