d,τ,µ
0,50,0.00364859
2,50,-0.103661
4,50,-0.204164
6,50,-0.307236
8,50,-0.374567
10,50,-0.450055
12,50,-0.499543
14,50,-0.55774
16,50,-0.596422
18,50,-0.63579
20,50,-0.66238
22,50,-0.70918
24,50,-0.731138
26,50,-0.731932
28,50,-0.792446
30,50,-0.814637
32,50,-0.848376
34,50,-0.862793
36,50,-0.84662
38,50,-0.860053
40,50,-0.869846
42,50,-0.997924
44,50,-1.03281
46,50,-1.04835
47,50,-1.04854
48,50,-1.07857
49,50,-1.07579
50,50,-1.00235
52,50,-0.971656
54,50,-0.977798
56,50,-1.19416
58,50,-1.0111
60,50,-1.04274
62,50,-1.07322
64,50,-1.2615
66,50,-1.11029
68,50,-1.39475
70,50,-1.3928
70,50,-1.40741
72,50,-1.13682
74,50,-1.47628
76,50,-1.48661
78,50,-1.55986
80,50,-1.62531
82,50,-1.29524
84,50,-1.17298
86,50,-1.26213
88,50,-1.35643
90,50,-1.84744
92,50,-1.32037
94,50,-2.03529
96,50,-1.41905
98,50,-1.96449
100,50,-1.59899
102,50,-1.73062
104,50,-2.32299
106,50,-1.73659
108,50,-1.70509
110,50,-1.78012
112,50,-2.7079
114,50,-2.05556
116,50,-2.80503
118,50,-3.07311
120,50,-2.42839
122,50,-2.58987
124,50,-2.91981
126,50,-2.91328
128,50,-3.34463
130,50,-4.31699
132,50,-3.82404
134,50,-4.38434
136,50,-4.80934
138,50,-5.24222
140,50,-5.6281
142,50,-6.47092
144,50,-5.90274
146,50,-5.24789
148,50,-5.0285
150,50,0.485781
152,50,-0.354783
154,50,-0.446169
156,50,-0.424854
158,50,0.60844
