d,τ,µ
0,50,-1.57982e-05
2,50,0.232482
4,50,-0.045627
6,50,-0.522033
8,50,-1.09315
10,50,-1.69371
12,50,-2.29053
14,50,-2.87631
16,50,-3.43985
18,50,-3.9712
20,50,-4.49469
22,50,-4.98115
24,50,-5.4331
26,50,-5.85567
28,50,-6.18887
30,50,-6.46452
32,50,-6.68507
34,50,-6.87068
36,50,-7.0412
38,50,-7.17222
40,50,-7.30096
42,50,-7.40934
44,50,-7.50981
46,50,-7.60806
47,50,-7.62676
48,50,-7.62573
49,50,-7.68044
50,50,-7.72212
52,50,-7.76231
54,50,-7.86306
56,50,-7.86134
58,50,-7.93413
60,50,-7.93902
62,50,-8.05896
64,50,-8.00197
66,50,-8.17527
68,50,-8.15358
70,50,-8.08395
70,50,-8.11255
72,50,-8.12195
74,50,-8.2623
76,50,-8.13049
78,50,-8.18247
80,50,-8.19834
82,50,-8.48541
84,50,-8.20755
86,50,-8.22382
88,50,-8.1599
90,50,-8.51198
92,50,-8.5946
94,50,-8.63915
96,50,-8.6088
98,50,-8.27201
100,50,-8.30998
102,50,-8.29216
104,50,-8.66618
106,50,-8.25527
108,50,-8.71317
110,50,-8.9582
112,50,-8.82175
114,50,-8.28064
116,50,-8.29755
118,50,-8.79136
120,50,-8.85868
122,50,-8.24854
124,50,-8.88175
126,50,-8.26255
128,50,-8.16885
130,50,-9.12277
132,50,-8.92298
134,50,-8.96905
136,50,-9.14858
138,50,-8.28507
140,50,-8.05717
142,50,-9.14044
144,50,-8.74697
146,50,-7.38072
148,50,-5.39285
150,50,-2.69058
152,50,-0.768655
154,50,0.419977
156,50,-0.786932
158,50,0.386539
