d,τ,µ
50,0,0.0159564
50,2,-0.173441
50,4,-0.541728
50,6,-0.798815
50,8,-1.10742
50,10,-1.49593
50,12,-1.84077
50,14,-2.09021
50,16,-2.49276
50,18,-2.74105
50,20,-3.06152
50,22,-3.47039
50,24,-3.77826
50,26,-4.15044
50,28,-4.37665
50,30,-4.71367
50,32,-5.03647
50,34,-5.41858
50,36,-5.6709
50,38,-6.05355
50,40,-6.25981
50,42,-6.62366
50,44,-6.90569
50,46,-7.15681
50,48,-7.46549
50,50,-7.70587
50,52,-8.0218
50,54,-8.27043
50,56,-8.55598
50,58,-8.79855
50,60,-9.00365
50,62,-9.2203
50,64,-9.51835
50,66,-9.7105
50,68,-9.97565
50,70,-10.1353
50,72,-10.3445
50,74,-10.5383
50,76,-10.7127
50,78,-10.9591
50,80,-11.0867
50,82,-11.2712
50,84,-11.4468
50,86,-11.5178
50,88,-11.6666
50,90,-11.8375
50,92,-11.936
50,94,-12.0012
50,96,-12.1283
50,98,-12.2273
50,100,-12.3069
50,102,-12.3461
50,104,-12.3836
50,106,-12.4524
50,108,-12.4754
50,110,-12.5246
50,112,-12.5718
50,114,-12.6332
50,116,-12.6322
50,118,-12.6856
50,120,-12.6863
50,122,-12.7144
50,124,-12.7513
50,126,-12.796
50,128,-12.8195

