d,τ,µ
20,0,-0.00781119
20,2,-0.266977
20,4,-0.598542
20,6,-0.93207
20,8,-1.26783
20,10,-1.57843
20,12,-1.89545
20,14,-2.20919
20,16,-2.50078
20,18,-2.78429
20,20,-3.04872
20,22,-3.31048
20,24,-3.55211
20,26,-3.78604
20,28,-3.98299
20,30,-4.17715
20,32,-4.34873
20,34,-4.50619
20,36,-4.62978
20,38,-4.7283
20,40,-4.80688
20,42,-4.84453
20,44,-4.87568
20,46,-4.90355
20,48,-4.92356
20,50,-4.94165
20,52,-4.94969
20,54,-4.96723
20,56,-4.97669
20,58,-4.98078
20,60,-4.98304
20,62,-4.98483
20,64,-4.98317
20,66,-4.98413
20,68,-4.98394
