d,τ,µ
0,50,-0.000470909
2,50,-0.0667037
4,50,-0.133018
6,50,-0.193894
8,50,-0.246812
10,50,-0.275473
12,50,-0.320161
14,50,-0.341474
16,50,-0.363564
18,50,-0.392213
20,50,-0.427718
22,50,-0.444006
24,50,-0.426022
26,50,-0.470507
28,50,-0.486922
30,50,-0.506731
32,50,-0.460292
34,50,-0.499688
36,50,-0.488866
38,50,-0.504556
40,50,-0.593889
42,50,-0.449074
44,50,-0.570836
46,50,-0.620265
47,50,-0.62696
48,50,-0.468519
49,50,-0.453683
50,50,-0.508593
52,50,-0.619772
54,50,-0.428241
56,50,-0.700626
58,50,-0.418084
60,50,-0.399307
62,50,-0.732174
64,50,-0.680303
66,50,-0.708214
68,50,-0.778693
70,50,-0.724915
70,50,-0.456362
72,50,-0.777636
74,50,-0.452263
76,50,-0.821873
78,50,-0.442307
80,50,-0.368309
82,50,-0.338105
84,50,-0.935916
86,50,-0.304906
88,50,-0.494192
90,50,-0.262478
92,50,-0.377678
94,50,-0.440716
96,50,-0.38153
98,50,-0.988417
100,50,-0.332026
102,50,-0.860647
104,50,-0.841054
106,50,-0.242996
108,50,-1.14739
110,50,-0.792508
112,50,-0.10391
114,50,-1.05016
116,50,-0.0926278
118,50,-0.104979
120,50,-1.15488
122,50,-0.435608
124,50,-0.97339
126,50,-1.25509
128,50,-0.312519
130,50,-0.0691428
132,50,-1.07076
134,50,-0.319242
136,50,-0.0893095
138,50,-0.190679
140,50,-0.300924
142,50,-0.17906
144,50,-1.17953
146,50,-1.3164
148,50,-0.251662
150,50,-0.991765
152,50,0.157257
154,50,-1.22812
156,50,-1.27111
158,50,-1.01247
160,50,-1.51929
162,50,0.130442
164,50,0.118912
166,50,-0.0576627
168,50,-1.00434
170,50,-1.17994
172,50,-1.54104
174,50,-1.40204
176,50,-0.964322
178,50,-1.42288
180,50,0.164349
182,50,-0.178882
184,50,-0.0439189
186,50,-0.714971
188,50,-1.62492
190,50,-1.34551
192,50,-1.02121
194,50,0.0265313
196,50,-1.42591
198,50,-0.588878
200,50,-1.33484
202,50,-1.49337
204,50,0.111684
206,50,0.159717
208,50,-0.940275
210,50,0.25837
212,50,0.164744
214,50,-1.42859
216,50,-1.70618
218,50,-0.822605
220,50,0.206851
222,50,-0.625425
224,50,-0.099771
226,50,-0.049707
228,50,-1.2932
230,50,0.506583
232,50,-0.169108
234,50,-0.956924
236,50,-0.111506
238,50,-1.30254
240,50,-1.17757
242,50,0.195319
244,50,-1.31968
246,50,-0.647043
248,50,1.01767
250,50,-0.220844
252,50,0.765539
254,50,0.886683
256,50,0.94246
258,50,0.93215
0,50,-0.000162634
