d,τ,µ
150,0,0.35563
150,80,-1.00625
150,82,-0.976881
150,84,-1.00767
150,86,-1.09521
150,88,-1.12198
150,90,-1.30182
150,92,-1.3334
150,94,-1.23635
150,96,-1.40817
150,98,-1.40532
150,102,-1.30248
150,104,-1.53811
150,106,-1.55251
150,108,-1.44203
150,110,-1.60812
150,112,-1.42334
150,114,-1.68345
150,116,-1.50134
150,118,-1.73349
150,120,-1.55386
150,122,-1.74063
150,124,-1.82915
150,126,-1.85281
150,128,-1.70073
150,130,-1.71273
150,132,-1.93994
150,134,-1.76785
150,136,-2.00315
150,138,-2.02946
150,140,-1.90028
150,142,-2.10857
150,144,-1.94217
150,146,-1.99506
150,148,-2.00397
150,150,-2.22166
150,152,-2.11466
150,154,-2.10103
150,156,-2.18296
150,158,-2.16747
150,160,-2.19154
150,162,-2.36868
150,164,-2.29628
150,166,-2.30199
150,168,-2.33537
150,170,-2.54568
150,172,-2.60275
150,174,-2.47491
150,176,-2.67248
150,178,-2.69834
150,180,-2.57328
150,182,-2.80443
150,184,-2.80944
150,186,-2.83399
150,188,-2.86433
150,190,-2.79254
150,192,-2.80942
150,194,-2.81149
150,196,-3.01232
150,198,-3.01429
150,200,-2.95453
150,202,-3.07592
150,204,-3.17379
150,206,-3.01574
150,208,-3.21396
150,210,-3.26853
150,212,-3.12339
150,214,-3.30448
150,216,-3.38523
150,218,-3.27947
150,220,-3.31421
150,222,-3.43959
150,224,-3.53479
150,226,-3.3873
150,228,-3.5957
150,230,-3.4449
150,232,-3.68361
150,234,-3.69223
150,236,-3.57994
150,238,-3.75959
150,240,-3.63503
150,242,-3.7454
150,244,-3.90463
150,246,-3.81808
150,248,-3.97405
150,250,-3.88023
150,252,-3.98302
150,254,-3.92487
150,256,-3.95501
150,258,-4.16754
150,260,-4.1947
150,262,-4.19162
150,264,-4.11211
150,266,-4.11256
150,268,-4.20771
150,270,-4.20432
150,272,-4.2436
150,274,-4.31777
150,276,-4.29771
150,278,-4.34472
150,280,-4.40642
150,282,-4.60938
150,284,-4.51497
150,286,-4.63901
150,288,-4.56328
150,290,-4.57199
150,292,-4.78772
150,294,-4.68279
150,296,-4.81565
150,298,-4.72167
150,300,-4.79444
150,302,-4.91406
150,304,-4.86638
150,306,-5.05662
150,308,-5.08232
150,310,-5.01297
150,312,-5.12658
150,314,-5.1777
150,316,-5.16353
150,318,-5.23364
150,320,-5.29401
150,322,-5.17909
150,324,-5.3819
150,326,-5.41732
150,328,-5.32464
150,330,-5.45767
150,332,-5.52001
150,334,-5.42968
150,336,-5.59712
150,338,-5.49936
150,340,-5.57603
150,342,-5.56882
150,344,-5.65205
150,346,-5.67901
150,348,-5.72536
150,350,-5.87452
150,352,-5.90203
150,354,-5.78266
150,356,-5.95171
150,358,-5.84478
150,360,-5.92956
150,362,-5.95234
150,364,-6.0958
150,366,-6.16767
150,368,-6.04349
150,370,-6.11373
150,372,-6.10504
150,374,-6.2927
150,376,-6.29023
150,378,-6.22189
150,2,0.0829799
150,4,-0.149522
150,6,0.0334053
150,8,-0.199552
150,10,-0.226417
150,12,-0.013952
150,14,-0.103982
150,16,-0.0921215
150,18,-0.327874
150,20,-0.370925
150,22,-0.387494
150,24,-0.250061
150,26,-0.240182
150,28,-0.453714
150,30,-0.40093
150,32,-0.295455
150,34,-0.544295
150,36,-0.363927
150,38,-0.548656
150,40,-0.583005
150,42,-0.458348
150,44,-0.595562
150,46,-0.705688
150,48,-0.717353
150,50,-0.705666
150,52,-0.726935
150,54,-0.789185
150,56,-0.640583
150,58,-0.864824
150,60,-0.663675
150,62,-0.759254
150,64,-0.956619
150,66,-0.971569
150,68,-0.921094
150,70,-0.873861
150,72,-1.05715
150,74,-0.8876
150,76,-1.05554
150,78,-0.963515
