d,τ,µ
0,50,0.298133
2,50,0.180537
4,50,-0.256306
6,50,-0.824918
8,50,-1.44848
10,50,-2.0751
12,50,-2.68975
14,50,-3.28508
16,50,-3.85905
18,50,-4.40539
20,50,-4.93635
22,50,-5.43909
24,50,-5.92267
26,50,-6.32181
28,50,-6.65505
30,50,-6.91527
32,50,-7.13198
34,50,-7.31779
36,50,-7.46896
38,50,-7.6259
40,50,-7.75416
42,50,-7.87194
44,50,-7.94575
46,50,-8.02752
47,50,-8.03713
48,50,-8.12859
49,50,-8.16658
50,50,-8.15336
52,50,-8.26905
54,50,-8.32908
56,50,-8.30919
58,50,-8.34258
60,50,-8.47305
62,50,-8.4771
64,50,-8.57075
66,50,-8.65032
68,50,-8.47786
70,50,-8.69196
70,50,-8.66434
72,50,-8.57814
74,50,-8.66602
76,50,-8.57561
78,50,-8.87593
80,50,-8.62868
82,50,-8.68712
84,50,-8.86972
86,50,-8.96974
88,50,-8.62528
90,50,-8.66395
92,50,-8.72428
94,50,-9.00883
96,50,-8.75044
98,50,-9.05196
100,50,-8.72782
102,50,-8.72214
104,50,-8.64168
106,50,-9.2563
108,50,-8.64288
110,50,-8.73599
112,50,-8.6746
114,50,-8.62128
116,50,-9.18726
118,50,-9.24352
120,50,-8.78207
122,50,-9.26159
124,50,-9.28005
126,50,-8.67193
128,50,-8.6993
130,50,-8.73833
132,50,-8.7016
134,50,-9.42854
136,50,-8.7625
138,50,-9.58679
140,50,-9.69187
142,50,-8.60285
144,50,-9.29721
146,50,-9.5078
148,50,-9.51222
150,50,-8.79469
152,50,-9.72385
154,50,-9.48686
156,50,-8.623
158,50,-9.51765
160,50,-8.34239
162,50,-8.5076
164,50,-8.77048
166,50,-9.48216
168,50,-8.93149
170,50,-9.84314
172,50,-8.42726
174,50,-9.74418
176,50,-9.8382
178,50,-8.64851
180,50,-9.44889
182,50,-10.0105
184,50,-8.53842
186,50,-8.47973
188,50,-10.1509
190,50,-8.48639
192,50,-9.77366
194,50,-9.75699
196,50,-10.1814
198,50,-9.45925
200,50,-8.75602
202,50,-9.40122
204,50,-9.36801
206,50,-10.0863
208,50,-9.91869
210,50,-9.57451
212,50,-8.91915
214,50,-9.5924
216,50,-9.69748
218,50,-9.03164
220,50,-8.57974
222,50,-8.92193
224,50,-8.56078
226,50,-9.92836
228,50,-9.38678
230,50,-9.97989
232,50,-8.61967
234,50,-10.0317
236,50,-9.06877
238,50,-9.32466
240,50,-8.64155
242,50,-9.83446
244,50,-7.9218
246,50,-8.08918
248,50,-5.71483
250,50,-0.991673
252,50,0.844581
254,50,-1.01
256,50,-1.07783
258,50,0.141747
0,50,0.297724
