d, τ, N, µ, r
150 ,  150 ,  290 ,  147.90171539949696 ,  -2.9017153994969647
150 ,  150 ,  292 ,  147.51211247958113 ,  -1.512112479581134
150 ,  150 ,  294 ,  147.83061377150355 ,  -0.8306137715035504
150 ,  150 ,  296 ,  146.34441811740382 ,  1.6555818825961808
150 ,  150 ,  298 ,  145.43961027215704 ,  3.56038972784296
150 ,  150 ,  300 ,  152.99812745573115 ,  -2.998127455731151
150 ,  150 ,  302 ,  139.8003802945521 ,  11.199619705447901
150 ,  150 ,  304 ,  145.21454050093936 ,  6.785459499060636
150 ,  150 ,  306 ,  133.37253220697065 ,  19.627467793029354
150 ,  150 ,  308 ,  133.91708093301094 ,  20.082919066989064
150 ,  150 ,  310 ,  135.6637879647665 ,  19.3362120352335
150 ,  150 ,  312 ,  134.141197865778 ,  21.858802134222003
150 ,  150 ,  314 ,  133.67460281631378 ,  23.32539718368622
150 ,  150 ,  316 ,  133.02904720859576 ,  24.970952791404244
150 ,  150 ,  318 ,  136.94317403210422 ,  22.056825967895776
150 ,  150 ,  320 ,  136.83779254187448 ,  23.162207458125522
150 ,  150 ,  322 ,  135.58354603448936 ,  25.41645396551064
150 ,  150 ,  324 ,  139.19595339449825 ,  22.804046605501753
150 ,  150 ,  326 ,  141.1880625227787 ,  21.811937477221306
150 ,  150 ,  328 ,  138.84854973663562 ,  25.15145026336438
150 ,  150 ,  330 ,  138.38348189131474 ,  26.616518108685256
150 ,  150 ,  332 ,  145.76749480563407 ,  20.232505194365928
150 ,  150 ,  334 ,  142.86921759240676 ,  24.130782407593244
150 ,  150 ,  336 ,  141.1017335974201 ,  26.898266402579907
150 ,  150 ,  338 ,  138.41696897274124 ,  30.583031027258755
150 ,  150 ,  340 ,  148.3577407388537 ,  21.642259261146307
150 ,  150 ,  342 ,  147.6237525338706 ,  23.3762474661294
150 ,  150 ,  344 ,  151.42712077124762 ,  20.572879228752385
150 ,  150 ,  346 ,  146.2352636111306 ,  26.76473638886941
150 ,  150 ,  348 ,  148.9440998439363 ,  25.0559001560637
150 ,  150 ,  350 ,  152.8857966210921 ,  22.114203378907888
150 ,  150 ,  352 ,  151.81252455543463 ,  24.187475444565365
150 ,  150 ,  354 ,  150.91858501438065 ,  26.081414985619347
150 ,  150 ,  356 ,  149.10466668621925 ,  28.895333313780753
150 ,  150 ,  358 ,  151.9826656273764 ,  27.017334372623594
