τ,µ
0,-0.00169027
1,-0.00187533
2,0.000496057
3,-0.00106678
4,0.00206596
5,0.00156584
6,0.000948377
7,-0.000760981
8,0.00180489
9,0.00154654
10,-0.000917979
11,-0.000815759
12,0.00144343
13,0.00102401
14,0.00152578
15,0.000550641
16,0.00161189
17,0.00134969
18,-0.000879875
19,0.000891752
20,-0.00159732
21,0.000959811
22,-0.00146573
23,0.00160661
24,-0.00233571
25,0.00149296
26,0.00206715
27,-0.00158145
28,0.00146653
29,-0.00179921
30,0.00129863
31,0.00137908
32,0.000681825
33,0.00129537
34,0.00139159
35,-0.00234346
36,0.00178398
37,0.00159142
38,-0.0018017
39,0.00204705
40,0.000941955
41,-0.00257956
42,-0.00134324
43,-0.00218488
44,-0.00179327
45,0.00197187
46,-0.00221759
47,-0.00179304
48,-0.00217603
49,-0.0017062
50,0.00194849
